event_date,event_return,entry_date,entry_px,exit_date,exit_px,gross,net,retraced
2014-01-27,-0.020888004522878645,2014-01-28,6131.85009765625,2014-02-03,6001.7998046875,-0.021208981122754267,-0.022208981122754268,False
2014-07-08,-0.021053878387766067,2014-07-09,7637.9501953125,2014-07-15,7526.64990234375,-0.014572010830478654,-0.015572010830478655,False
2015-01-06,-0.029963988501869876,2015-01-07,8118.64990234375,2015-01-13,8299.400390625,0.022263614080596072,0.02126361408059607,False
2015-03-09,-0.02025118178512486,2015-03-10,8769.75,2015-03-16,8633.150390625,-0.015576226160951001,-0.016576226160951002,False
2015-03-26,-0.022113918786236364,2015-03-27,8396.0,2015-04-06,8659.900390625,0.03143168063661261,0.030431680636612612,True
2015-05-06,-0.02736399793773192,2015-05-07,8077.0,2015-05-13,8235.4501953125,0.019617456396248567,0.018617456396248566,False
2015-06-02,-0.023353592405198742,2015-06-03,8232.4501953125,2015-06-09,8022.39990234375,-0.02551491815745832,-0.026514918157458323,False
2015-08-24,-0.05915098088055637,2015-08-25,7895.39990234375,2015-08-31,7971.2998046875,0.00961318024198099,0.008613180241980989,False
2015-09-01,-0.023264675971940818,2015-09-02,7856.64990234375,2015-09-08,7688.25,-0.02143405961025624,-0.02243405961025624,False
2015-09-22,-0.02069675641963653,2015-09-23,7737.35009765625,2015-09-30,7948.89990234375,0.027341376830238184,0.026341376830238183,False
2016-01-07,-0.022309804329221028,2016-01-08,7611.64990234375,2016-01-14,7536.7998046875,-0.009833623277024639,-0.01083362327702464,False
2016-02-11,-0.03317073758299127,2016-02-12,7023.64990234375,2016-02-18,7191.75,0.023933439165320092,0.02293343916532009,False
2016-04-05,-0.02005459778469787,2016-04-06,7636.0498046875,2016-04-12,7708.9501953125,0.00954687207255378,0.00854687207255378,False
2016-06-24,-0.021987932139331257,2016-06-27,8039.35009765625,2016-07-01,8328.349609375,0.035948118717084254,0.03494811871708425,True
2016-11-11,-0.026912611243878892,2016-11-15,8284.849609375,2016-11-21,7929.10009765625,-0.04293976698336077,-0.04393976698336077,False
